DATE,WGS10YR_PCH
2004-08-27,0.47281
2004-09-03,-1.41176
2004-09-10,0.47733
2004-09-17,-1.66271
2004-09-24,-2.41546
2004-10-01,1.48515
2004-10-08,2.43902
2004-10-15,-2.85714
2004-10-22,-1.22549
2004-10-29,0.49628
2004-11-05,1.72840
2004-11-12,2.42718
2004-11-19,-1.18483
2004-11-26,0.71942
2004-12-03,3.57143
2004-12-10,-3.67816
2004-12-17,-0.71599
2004-12-24,1.20192
2004-12-31,1.90024
2005-01-07,-0.23310
2005-01-14,-0.70093
2005-01-21,-1.41176
2005-01-28,0.00000
2005-02-04,-1.19332
2005-02-11,-1.93237
2005-02-18,2.46305
2005-02-25,2.88462
2005-03-04,2.10280
2005-03-11,1.83066
2005-03-18,1.34831
2005-03-25,1.77384
2005-04-01,-0.87146
2005-04-08,-1.53846
2005-04-15,-2.45536
2005-04-22,-2.51716
2005-04-29,-0.46948
2005-05-06,-0.47170
2005-05-13,-0.23697
2005-05-20,-2.37530
2005-05-27,-0.97324
2005-06-03,-2.94840
2005-06-10,0.50633
2005-06-17,3.27456
2005-06-24,-2.43902
2005-07-01,-0.75000
2005-07-08,3.02267
2005-07-15,1.71149
2005-07-22,1.44231
2005-07-29,0.71090
2005-08-05,2.11765
2005-08-12,0.46083
2005-08-19,-2.75229
2005-08-26,-0.94340
2005-09-02,-2.61905
2005-09-09,0.97800
2005-09-16,1.45278
2005-09-23,0.95465
2005-09-30,1.65485
2005-10-07,1.62791
2005-10-14,1.83066
2005-10-21,0.22472
2005-10-28,2.01794
2005-11-04,1.31868
2005-11-11,-0.21692
2005-11-18,-1.73913
2005-11-25,-1.54867
2005-12-02,0.67416
2005-12-09,0.89286
2005-12-16,-0.66372
2005-12-23,-0.89087
2005-12-30,-1.79775
2006-01-06,0.00000
2006-01-13,0.91533
2006-01-20,-1.13379
2006-01-27,2.29358
2006-02-03,2.01794
2006-02-10,0.21978
2006-02-17,0.65789
2006-02-24,-0.65359
2006-03-03,1.09649
2006-03-10,2.81996
2006-03-17,-0.63291
2006-03-24,-0.42463
2006-03-31,2.34542
2006-04-07,1.87500
2006-04-14,1.84049
2006-04-21,0.80321
2006-04-28,0.99602
2006-05-05,1.38067
2006-05-12,0.00000
2006-05-19,-0.58366
2006-05-26,-1.17417
2006-06-02,0.59406
2006-06-09,-1.37795
2006-06-16,0.79840
2006-06-23,2.57426
2006-06-30,0.77220
2006-07-07,-0.76628
2006-07-14,-1.54440
2006-07-21,-0.58824
2006-07-28,-0.39448
2006-08-04,-1.78218
2006-08-11,-0.40323
2006-08-18,-0.80972
2006-08-25,-1.83673
2006-09-01,-1.03950
2006-09-08,0.63025
2006-09-15,0.00000
2006-09-22,-1.67015
2006-09-29,-2.33546
2006-10-06,0.43478
2006-10-13,3.46320
2006-10-20,0.00000
2006-10-27,-0.20921
2006-11-03,-2.72537
2006-11-10,0.00000
2006-11-17,-0.64655
2006-11-24,-0.65076
2006-12-01,-1.96507
2006-12-08,-0.22272
2006-12-15,1.78571
2006-12-22,0.87719
2006-12-29,1.52174
2007-01-05,-0.21413
2007-01-12,0.85837
2007-01-19,1.48936
2007-01-26,1.25786
2007-02-02,0.62112
2007-02-09,-1.85185
2007-02-16,-0.41929
2007-02-23,-1.05263
2007-03-02,-3.19149
2007-03-09,-0.43956
2007-03-16,0.22075
2007-03-23,0.88106
2007-03-30,1.09170
2007-04-06,1.07991
2007-04-13,1.28205
2007-04-20,-1.05485
2007-04-27,-0.42644
2007-05-04,-0.42827
2007-05-11,0.00000
2007-05-18,1.93548
2007-05-25,2.10970
2007-06-01,1.23967
2007-06-08,2.44898
2007-06-15,3.58566
2007-06-22,-1.15385
2007-06-29,-0.97276
2007-07-06,0.19646
2007-07-13,0.00000
2007-07-20,-1.37255
2007-07-27,-2.98211
2007-08-03,-2.25410
2007-08-10,0.41929
2007-08-17,-1.87891
2007-08-24,-1.70213
2007-08-31,-1.51515
2007-09-07,-1.53846
2007-09-14,-1.33929
2007-09-21,3.39367
2007-09-28,0.87527
2007-10-05,-0.86768
2007-10-12,2.18818
2007-10-19,-2.14133
2007-10-26,-3.93873
2007-11-02,0.00000
2007-11-09,-1.59453
2007-11-16,-2.31481
2007-11-23,-4.26540
2007-11-30,-2.47525
2007-12-07,0.76142
2007-12-14,3.77834
2007-12-21,0.00000
2007-12-28,2.18447
2008-01-04,-6.41330
2008-01-11,-2.28426
2008-01-18,-3.37662
2008-01-25,-3.76344
2008-02-01,2.51397
2008-02-08,-0.27248
2008-02-15,1.63934
2008-02-22,3.49462
2008-02-29,-1.81818
2008-03-07,-4.49735
2008-03-14,-2.77008
2008-03-21,-3.41880
2008-03-28,3.83481
2008-04-04,0.85227
2008-04-11,-0.28169
2008-04-18,3.67232
2008-04-25,3.81471
2008-05-02,0.52493
2008-05-09,0.52219
2008-05-16,0.25974
2008-05-23,-0.51813
2008-05-30,4.94792
2008-06-06,-1.24069
2008-06-13,4.27136
2008-06-20,1.20482
2008-06-27,-2.61905
2008-07-04,-2.20049
2008-07-11,-2.50000
2008-07-18,2.05128
2008-07-25,3.26633
2008-08-01,-1.70316
2008-08-08,-1.23762
2008-08-15,-2.00501
2008-08-22,-2.04604
2008-08-29,-1.04439
2008-09-05,-2.63852
2008-09-12,-0.81301
2008-09-19,-3.27869
2008-09-26,8.47458
2008-10-03,-3.64583
2008-10-10,-0.27027
2008-10-17,8.94309
2008-10-24,-6.96517
2008-10-31,4.81283
2008-11-07,-2.55102
2008-11-14,-1.04712
2008-11-21,-10.58201
2008-11-28,-8.28402
2008-12-05,-14.19355
2008-12-12,0.37594
2008-12-19,-15.35581
2008-12-26,-3.53982
2009-01-02,2.75229
2009-01-09,10.71429
2009-01-16,-7.25806
2009-01-23,11.30435
2009-01-30,7.42188
2009-02-06,6.18182
2009-02-13,-1.36986
2009-02-20,-4.51389
2009-02-27,5.81818
2009-03-06,-0.34364
2009-03-13,0.68966
2009-03-20,-5.82192
2009-03-27,-0.36364
2009-04-03,0.72993
2009-04-10,6.15942
2009-04-17,-2.04778
2009-04-24,3.13589
2009-05-01,4.72973
2009-05-08,4.19355
2009-05-15,-2.78638
2009-05-22,4.77707
2009-05-29,9.11854
2009-06-05,3.06407
2009-06-12,5.13514
2009-06-19,-3.59897
2009-06-26,-3.20000
2009-07-03,-2.75482
2009-07-10,-3.11615
2009-07-17,3.80117
2009-07-24,1.97183
2009-07-31,1.38122
2009-08-07,2.72480
2009-08-14,-2.65252
2009-08-21,-5.17711
2009-08-28,-0.57471
2009-09-04,-2.60116
2009-09-11,1.18694
2009-09-18,1.46628
2009-09-25,-0.86705
2009-10-02,-4.37318
2009-10-09,0.00000
2009-10-16,4.57317
2009-10-23,0.00000
2009-10-30,1.74927
2009-11-06,1.14613
2009-11-13,-1.41643
2009-11-20,-3.73563
2009-11-27,-1.49254
2009-12-04,1.21212
2009-12-11,3.89222
2009-12-18,2.59366
2009-12-25,5.61798
2010-01-01,1.86170
2010-01-08,0.00000
2010-01-15,-1.56658
2010-01-22,-2.91777
2010-01-29,0.00000
2010-02-05,0.00000
2010-02-12,0.81967
2010-02-19,1.35501
2010-02-26,-1.33690
2010-03-05,-1.62602
2010-03-12,2.47934
2010-03-19,-1.07527
2010-03-26,2.98913
2010-04-02,2.63852
2010-04-09,1.28535
2010-04-16,-2.28426
2010-04-23,-1.03896
2010-04-30,-1.31234
2010-05-07,-5.31915
2010-05-14,-0.56180
2010-05-21,-5.93220
2010-05-28,-2.40240
2010-06-04,1.84615
2010-06-11,-2.71903
2010-06-18,1.24224
2010-06-25,-2.76074
2010-07-02,-5.67823
2010-07-09,1.00334
2010-07-16,0.99338
2010-07-23,-2.62295
2010-07-30,1.68350
2010-08-06,-2.64901
2010-08-13,-6.12245
2010-08-20,-5.43478
2010-08-27,-1.91571
2010-09-03,1.17188
2010-09-10,4.63320
2010-09-17,1.10701
2010-09-24,-4.74453
2010-10-01,-3.44828
2010-10-08,-2.77778
2010-10-15,2.04082
2010-10-22,1.60000
2010-10-29,5.11811
2010-11-05,-2.24719
2010-11-12,2.68199
2010-11-19,7.83582
2010-11-26,-1.73010
2010-12-03,3.16901
2010-12-10,8.53242
2010-12-17,7.54717
2010-12-24,-1.46199
2010-12-31,0.29674
2011-01-07,0.59172
2011-01-14,-1.17647
2011-01-21,1.78571
2011-01-28,-0.58480
2011-02-04,4.11765
2011-02-11,3.95480
2011-02-18,-2.17391
2011-02-25,-3.88889
2011-03-04,0.28902
2011-03-11,-0.28818
2011-03-18,-4.91329
2011-03-25,2.73556
2011-04-01,2.66272
2011-04-08,2.01729
2011-04-15,-0.84746
2011-04-22,-2.84900
2011-04-29,-1.46628
2011-05-06,-3.57143
2011-05-13,-1.23457
2011-05-20,-1.56250
2011-05-27,-1.58730
2011-06-03,-2.90323
2011-06-10,-0.33223
2011-06-17,-0.33333
2011-06-24,-1.00334
2011-07-01,5.06757
2011-07-08,0.32154
2011-07-15,-5.76923
2011-07-22,1.02041
2011-07-29,0.00000
2011-08-05,-11.78451
2011-08-12,-13.35878
2011-08-19,-4.40529
2011-08-26,0.92166
2011-09-02,-0.91324
2011-09-09,-8.29493
2011-09-16,2.01005
2011-09-23,-7.88177
2011-09-30,5.34759
2011-10-07,-2.03046
2011-10-14,15.02591
2011-10-21,-0.90090
2011-10-28,3.63636
2011-11-04,-9.21053
2011-11-11,-0.96618
2011-11-18,-1.46341
2011-11-25,-3.96040
2011-12-02,5.15464
2011-12-09,0.00000
2011-12-16,-4.90196
2011-12-23,0.51546
2011-12-30,-0.51282
2012-01-06,2.57732
2012-01-13,-2.01005
2012-01-20,0.51282
2012-01-27,2.55102
2012-02-03,-6.46766
2012-02-10,5.85106
2012-02-17,-1.00503
2012-02-24,2.03046
2012-03-02,-1.99005
2012-03-09,1.52284
2012-03-16,10.50000
2012-03-23,4.97738
2012-03-30,-4.31034
2012-04-06,-0.45045
2012-04-13,-7.69231
2012-04-20,-1.96078
2012-04-27,-1.00000
2012-05-04,-1.51515
2012-05-11,-3.58974
2012-05-18,-7.44681
2012-05-25,1.14943
2012-06-01,-8.52273
2012-06-08,0.00000
2012-06-15,0.62112
2012-06-22,1.23457
2012-06-29,0.00000
2012-07-06,-1.82927
2012-07-13,-5.59006
2012-07-20,0.00000
2012-07-27,-3.28947
2012-08-03,4.76190
2012-08-10,7.14286
2012-08-17,6.66667
2012-08-24,-1.13636
2012-08-31,-6.32184
2012-09-07,0.61350
2012-09-14,7.31707
2012-09-21,2.84091
2012-09-28,-7.18232
2012-10-05,-0.59524
2012-10-12,2.39521
2012-10-19,4.67836
2012-10-26,1.11732
2012-11-02,-3.86740
2012-11-09,-3.44828
2012-11-16,-5.35714
2012-11-23,5.03145
2012-11-30,-2.39521
2012-12-07,-0.61350
2012-12-14,4.32099
2012-12-21,6.50888
2012-12-28,-2.22222
2013-01-04,6.25000
2013-01-11,1.60428
2013-01-18,-1.57895
2013-01-25,1.60428
2013-02-01,6.31579
2013-02-08,-0.99010
2013-02-15,0.50000
2013-02-22,-0.49751
2013-03-01,-6.00000
2013-03-08,4.25532
2013-03-15,4.08163
2013-03-22,-4.90196
2013-03-29,-2.06186
2013-04-05,-4.73684
2013-04-12,-1.10497
2013-04-19,-3.35196
2013-04-26,0.00000
2013-05-03,-1.73410
2013-05-10,7.64706
2013-05-17,5.46448
2013-05-24,3.10881
2013-05-31,7.53769
2013-06-07,-0.93458
2013-06-14,3.77358
2013-06-21,5.90909
2013-06-28,9.44206
2013-07-05,0.39216
2013-07-12,3.12500
2013-07-19,-3.78788
2013-07-26,1.18110
2013-08-02,2.72374
2013-08-09,-0.75758
2013-08-16,4.19847
2013-08-23,4.76190
2013-08-30,-3.49650
2013-09-06,5.79710
2013-09-13,0.00000
2013-09-20,-4.45205
2013-09-27,-4.65950
2013-10-04,-0.75188
2013-10-11,1.51515
2013-10-18,-0.74627
2013-10-25,-4.13534
2013-11-01,0.78431
2013-11-08,4.28016
2013-11-15,2.23881
2013-11-22,0.00000
2013-11-29,0.00000
2013-12-06,3.64964
2013-12-13,0.70423
2013-12-20,1.04895
2013-12-27,3.46021
2014-01-03,0.66890
2014-01-10,-1.66113
2014-01-17,-3.37838
2014-01-24,-1.39860
2014-01-31,-3.19149
2014-02-07,-1.83150
2014-02-14,2.61194
2014-02-21,-0.72727
2014-02-28,-1.46520
2014-03-07,0.74349
2014-03-14,0.36900
2014-03-21,0.73529
2014-03-28,-0.72993
2014-04-04,1.83824
2014-04-11,-3.24910
2014-04-18,-0.37313
2014-04-25,1.49813
2014-05-02,-1.84502
2014-05-09,-1.50376
2014-05-16,-1.90840
2014-05-23,-1.16732
2014-05-30,-2.75591
2014-06-06,4.85830
2014-06-13,1.15830
2014-06-20,0.38168
2014-06-27,-2.28137
2014-07-04,1.16732
2014-07-11,-1.15385
2014-07-18,-1.55642
2014-07-25,-1.58103
2014-08-01,1.60643
2014-08-08,-2.37154
2014-08-15,-2.42915
2014-08-22,0.00000
2014-08-29,-1.65975
2014-09-05,2.95359
2014-09-12,4.09836
2014-09-19,2.75591
2014-09-26,-2.29885
2014-10-03,-3.13725
2014-10-10,-4.45344
2014-10-17,-7.20339
2014-10-24,2.73973
2014-10-31,3.11111
2014-11-07,1.72414
2014-11-14,0.00000
2014-11-21,-1.27119
2014-11-28,-3.43348
2014-12-05,0.88889
2014-12-12,-3.52423
2014-12-19,-2.28311
2014-12-26,4.67290
2015-01-02,-2.67857
2015-01-09,-8.25688
2015-01-16,-7.00000
2015-01-23,-0.53763
2015-01-30,-4.32432
2015-02-06,2.25989
2015-02-13,10.49724
2015-02-20,5.50000
2015-02-27,-4.73934
2015-03-06,5.97015
2015-03-13,0.46948
2015-03-20,-6.54206
2015-03-27,-3.00000
2015-04-03,-1.54639
2015-04-10,1.04712
2015-04-17,-1.55440
2015-04-24,2.10526
2015-05-01,4.63918
2015-05-08,7.88177
2015-05-15,2.28311
2015-05-22,-0.44643
2015-05-29,-4.48430
2015-06-05,8.45070
2015-06-12,4.76190
2015-06-19,-4.13223
2015-06-26,3.87931
2015-07-03,-1.24481
2015-07-10,-2.94118
2015-07-17,3.03030
2015-07-24,-2.52101
2015-07-31,-3.01724
2015-08-07,-1.33333
2015-08-14,-1.80180
2015-08-21,-2.75229
2015-08-28,0.94340
2015-09-04,1.86916
2015-09-11,1.37615
2015-09-18,0.45249
2015-09-25,-2.70270
2015-10-02,-5.09259
2015-10-09,1.95122
2015-10-16,-2.87081
2015-10-23,1.47783
2015-10-30,2.42718
2015-11-06,7.10900
2015-11-13,2.65487
2015-11-20,-2.58621
2015-11-27,-0.88496
2015-12-04,-0.44643
2015-12-11,-0.89686
2015-12-18,1.80995
2015-12-25,-0.44444
2016-01-01,2.23214
2016-01-08,-4.36681
2016-01-15,-4.10959
2016-01-22,-2.85714
2016-01-29,-1.96078
2016-02-05,-5.50000
2016-02-12,-9.52381
2016-02-19,4.09357
2016-02-26,-1.68539
2016-03-04,4.00000
2016-03-11,4.94505
2016-03-18,1.04712
2016-03-25,-1.03627
2016-04-01,-4.71204
2016-04-08,-4.39560
2016-04-15,1.72414
2016-04-22,3.95480
2016-04-29,2.17391
2016-05-06,-3.72340
2016-05-13,-3.31492
2016-05-20,4.00000
2016-05-27,1.64835
2016-06-03,-2.70270
2016-06-10,-5.55556
2016-06-17,-5.29412
2016-06-24,4.34783
2016-07-01,-12.50000
2016-07-08,-6.12245
2016-07-15,9.42029
2016-07-22,4.63576
2016-07-29,-3.16456
2016-08-05,0.65359
2016-08-12,0.00000
2016-08-19,1.29870
2016-08-26,0.64103
2016-09-02,0.63694
2016-09-09,0.63291
2016-09-16,6.91824
2016-09-23,-2.35294
2016-09-30,-4.81928
2016-10-07,7.59494
2016-10-14,4.70588
2016-10-21,-1.12360
2016-10-28,2.84091
2016-11-04,0.55249
2016-11-11,8.79121
2016-11-18,14.14141
2016-11-25,3.53982
2016-12-02,1.28205
2016-12-09,1.26582
2016-12-16,5.83333
2016-12-23,0.39370
2016-12-30,-1.56863
2017-01-06,-3.18725
2017-01-13,-2.05761
2017-01-20,2.10084
2017-01-27,2.05761
2017-02-03,0.00000
2017-02-10,-3.62903
2017-02-17,2.92887
2017-02-24,-2.84553
2017-03-03,1.67364
2017-03-10,4.93827
2017-03-17,0.00000
2017-03-24,-5.09804
2017-03-31,-0.82645
2017-04-07,-2.08333
2017-04-14,-2.12766
2017-04-21,-3.04348
2017-04-28,3.58744
2017-05-05,0.86580
2017-05-12,2.57511
2017-05-19,-5.02092
2017-05-26,-0.44053
2017-06-02,-2.65487
2017-06-09,-0.90909
2017-06-16,0.00000
2017-06-23,-0.91743
2017-06-30,3.24074
2017-07-07,5.82960
2017-07-14,-0.42373
2017-07-21,-3.40426
2017-07-28,1.32159
2017-08-04,-1.30435
2017-08-11,-1.32159
2017-08-18,-0.89286
2017-08-25,-1.35135
2017-09-01,-2.28311
2017-09-08,-3.27103
2017-09-15,5.31401
2017-09-22,3.66972
2017-09-29,0.88496
2017-10-06,2.63158
2017-10-13,-0.42735
2017-10-20,0.00000
2017-10-27,3.86266
2017-11-03,-2.47934
2017-11-10,-0.84746
2017-11-17,1.28205
2017-11-24,-0.84388
2017-12-01,0.42553
2017-12-08,0.00000
2017-12-15,0.42373
2017-12-22,3.79747
2017-12-29,-1.21951
2018-01-05,1.23457
2018-01-12,3.25203
2018-01-19,1.96850
2018-01-26,2.31660
2018-02-02,3.77358
2018-02-09,2.54545
2018-02-16,1.77305
2018-02-23,1.39373
2018-03-02,-1.71821
2018-03-09,0.69930
2018-03-16,-1.38889
2018-03-23,0.70423
2018-03-30,-2.44755
2018-04-06,-0.35842
2018-04-13,0.71942
2018-04-20,2.85714
2018-04-27,3.81944
2018-05-04,-1.00334
2018-05-11,0.33784
2018-05-18,3.36700
2018-05-25,-1.95440
2018-06-01,-5.98007
2018-06-08,3.88693
2018-06-15,0.34014
2018-06-22,-1.35593
2018-06-29,-2.06186
2018-07-06,-0.35088
2018-07-13,0.35211
2018-07-20,0.35088
2018-07-27,3.49650
2018-08-03,0.33784
2018-08-10,-1.01010
2018-08-17,-2.38095
2018-08-24,-1.39373
2018-08-31,1.41343
2018-09-07,1.39373
2018-09-14,2.06186
2018-09-21,2.69360
2018-09-28,0.65574
2018-10-05,2.28013
2018-10-12,1.27389
2018-10-19,0.00000
2018-10-26,-1.25786
2018-11-02,0.00000
2018-11-09,2.22930
2018-11-16,-3.11526
2018-11-23,-1.60772
2018-11-30,-0.32680
2018-12-07,-4.91803
2018-12-14,-0.34483
2018-12-21,-2.76817
2018-12-28,-1.77936
2019-01-04,-3.98551
2019-01-11,2.64151
2019-01-18,0.73529
2019-01-25,0.36496
2019-02-01,-1.81818
2019-02-08,-0.74074
2019-02-15,-0.37313
2019-02-22,-0.37453
2019-03-01,1.50376
2019-03-08,-0.74074
2019-03-15,-2.23881
2019-03-22,-2.67176
2019-03-29,-5.49020
2019-04-05,3.73444
2019-04-12,0.80000
2019-04-19,2.38095
2019-04-26,-1.16279
2019-05-03,-0.78431
2019-05-10,-2.37154
2019-05-17,-2.83401
2019-05-24,-1.25000
2019-05-31,-6.32911
2019-06-07,-5.40541
2019-06-14,0.95238
2019-06-21,-3.30189
2019-06-28,-1.46341
2019-07-05,-0.99010
2019-07-12,4.50000
2019-07-19,-0.95694
2019-07-26,0.00000
2019-08-02,-4.34783
2019-08-09,-12.62626
2019-08-16,-7.51445
2019-08-23,-1.25000
2019-08-30,-5.06329
2019-09-06,1.33333
2019-09-13,15.78947
2019-09-20,2.27273
2019-09-27,-5.55556
2019-10-04,-5.88235
2019-10-11,1.25000
2019-10-18,8.64198
2019-10-25,1.13636
2019-11-01,0.00000
2019-11-08,4.49438
2019-11-15,0.53763
2019-11-22,-5.34759
2019-11-29,-0.56497
2019-12-06,1.70455
2019-12-13,2.79330
2019-12-20,3.80435
2019-12-27,-0.52356
2020-01-03,-1.05263
2020-01-10,-2.12766
2020-01-17,-1.08696
2020-01-24,-3.84615
2020-01-31,-9.14286
2020-02-07,1.25786
2020-02-14,-1.24224
2020-02-21,-4.40252
2020-02-28,-15.13158
2020-03-06,-25.58140
2020-03-13,-17.70833
2020-03-20,25.31646
2020-03-27,-18.18182
2020-04-03,-19.75309
2020-04-10,12.30769
2020-04-17,-6.84932
2020-04-24,-10.29412
2020-05-01,4.91803
2020-05-08,4.68750
2020-05-15,0.00000
2020-05-22,2.98507
2020-05-29,-1.44928
2020-06-05,13.23529
2020-06-12,0.00000
2020-06-19,-6.49351
2020-06-26,-4.16667
2020-07-03,-2.89855
2020-07-10,-1.49254
2020-07-17,-4.54545
2020-07-24,-4.76190
2020-07-31,-3.33333
2020-08-07,-5.17241
2020-08-14,21.81818
2020-08-21,0.00000
2020-08-28,4.47761
2020-09-04,-2.85714
2020-09-11,1.47059
2020-09-18,0.00000
2020-09-25,-2.89855
2020-10-02,1.49254
2020-10-09,14.70588
2020-10-16,-5.12821
2020-10-23,12.16216
2020-10-30,-1.20482
2020-11-06,1.21951
2020-11-13,12.04819
2020-11-20,-6.45161
2020-11-27,0.00000
2020-12-04,5.74713
2020-12-11,1.08696
2020-12-18,0.00000
2020-12-25,2.15054
2021-01-01,-1.05263
2021-01-08,9.57447
2021-01-15,9.70874
2021-01-22,-1.76991
2021-01-29,-4.50450
2021-02-05,7.54717
2021-02-12,3.50877
2021-02-19,11.01695
2021-02-26,8.39695
2021-03-05,4.92958
2021-03-12,5.36913
2021-03-19,5.73248
2021-03-26,-0.60241
2021-04-02,4.24242
2021-04-09,-2.32558
2021-04-16,-3.57143
2021-04-23,-2.46914
2021-04-30,3.16456
2021-05-07,-1.84049
2021-05-14,3.12500
2021-05-21,-0.60606
2021-05-28,-3.04878
2021-06-04,0.62893
2021-06-11,-6.25000
2021-06-18,0.66667
2021-06-25,-0.66225
2021-07-02,-2.00000
2021-07-09,-8.84354
2021-07-16,1.49254
2021-07-23,-7.35294
2021-07-30,0.00000
2021-08-06,-3.17460
2021-08-13,9.83607
2021-08-20,-5.97015
2021-08-27,3.96825
2021-09-03,-0.76336
2021-09-10,3.84615
2021-09-17,-1.48148
2021-09-24,3.00752
2021-10-01,10.21898
2021-10-08,2.64901
2021-10-15,1.29032
2021-10-22,5.09554
2021-10-29,-3.63636
2021-11-05,-3.14465
2021-11-12,-0.64935
2021-11-19,4.57516
2021-11-26,0.62500
2021-12-03,-11.18012
2021-12-10,3.49650
2021-12-17,-2.70270
2021-12-24,2.08333
2021-12-31,2.72109
2022-01-07,12.58278
2022-01-14,2.94118
2022-01-21,4.00000
2022-01-28,-1.64835
2022-02-04,2.23464
2022-02-11,6.55738
2022-02-18,2.05128
2022-02-25,-1.00503
2022-03-04,-8.62944
2022-03-11,6.11111
2022-03-18,13.08901
2022-03-25,9.72222
2022-04-01,0.84388
2022-04-08,8.36820
2022-04-15,6.56371
2022-04-22,4.71014
2022-04-29,-2.07612
2022-05-06,6.36042
2022-05-13,-2.32558
2022-05-20,-2.38095
2022-05-27,-3.48432
2022-06-03,5.41516
2022-06-10,4.45205
2022-06-17,10.16393
2022-06-24,-5.65476
2022-07-01,-3.15457
2022-07-08,-3.58306
2022-07-15,-0.33784
2022-07-22,-0.33898
2022-07-29,-6.46259
2022-08-05,-1.09091
2022-08-12,3.30882
2022-08-19,2.13523
2022-08-26,6.27178
2022-09-02,3.93443
2022-09-09,4.41640
2022-09-16,3.32326
2022-09-23,4.97076
2022-09-30,6.68524
2022-10-07,-2.08877
2022-10-14,5.33333
2022-10-21,4.30380
2022-10-28,-1.21359
2022-11-04,1.22850
2022-11-11,-0.97087
2022-11-18,-7.10784
2022-11-25,-1.05541
2022-12-02,-3.20000
2022-12-09,-3.03030
2022-12-16,-0.28409
2022-12-23,4.55840
2022-12-30,5.17711
2023-01-06,-4.40415
2023-01-13,-4.60705
2023-01-20,-2.27273
2023-01-27,1.45349
2023-02-03,-0.28653
2023-02-10,5.45977
2023-02-17,3.54223
2023-02-24,3.42105
2023-03-03,1.27226
2023-03-10,-1.75879
2023-03-17,-9.71867
2023-03-24,-1.98300
2023-03-31,2.31214
2023-04-07,-5.36723
2023-04-14,2.68657
2023-04-21,4.06977
2023-04-28,-3.35196
2023-05-05,-0.57803
2023-05-12,0.87209
2023-05-19,3.45821
2023-05-26,4.73538
2023-06-02,-2.65957
2023-06-09,1.91257
2023-06-16,1.34048
2023-06-23,-0.79365
2023-06-30,0.53333
2023-07-07,5.57029
2023-07-14,-2.26131
2023-07-21,-2.05656
2023-07-28,2.88714
2023-08-04,3.82653
2023-08-11,0.00000
2023-08-18,4.42260
2023-08-25,0.47059
2023-09-01,-3.04450
2023-09-08,3.38164
2023-09-15,0.23364
2023-09-22,2.33100
2023-09-29,4.32802
2023-10-06,3.71179
2023-10-13,-2.31579
2023-10-20,4.95690
2023-10-27,0.00000
2023-11-03,-2.46407
2023-11-10,-3.36842
2023-11-17,-1.96078
2023-11-24,-1.55556
2023-12-01,-2.48307
2023-12-08,-3.00926
2023-12-15,-3.10263
2023-12-22,-3.69458
2023-12-29,-1.53453
2024-01-05,3.37662
2024-01-12,0.50251
2024-01-19,3.00000
2024-01-26,0.48544
2024-02-02,-3.14010
2024-02-09,2.99252
2024-02-16,3.14770
2024-02-23,0.93897
2024-03-01,-0.93023
2024-03-08,-3.05164
2024-03-15,1.93705
2024-03-22,1.66271
2024-03-29,-1.40187
2024-04-05,3.08057
2024-04-12,2.98851
2024-04-19,3.34821
2024-04-26,0.43197
2024-05-03,-0.86022
2024-05-10,-2.81996
2024-05-17,-1.33929
2024-05-24,0.45249
2024-05-31,2.47748
2024-06-07,-4.39560
2024-06-14,-0.68966
2024-06-21,-1.62037
2024-06-28,0.94118
2024-07-05,2.33100
2024-07-12,-3.18907
2024-07-19,-1.17647
2024-07-26,1.19048
2024-08-02,-4.94118
2024-08-09,-3.21782
2024-08-16,-0.76726
2024-08-23,-1.28866
2024-08-30,0.52219
